gameId,season,gameType,gameDate,startTimeUTC,venue,venueCity,homeTeamId,homeTeam,homeAbbrev,awayTeamId,awayTeam,awayAbbrev,homeGoals,awayGoals,homeShotsOnGoal,awayShotsOnGoal,wentToOT,wentToSO,finalPeriodNumber,finalPeriodType,gameState,game_year
2023030144,20232024,3,2024-04-27,2024-04-27T18:00:00Z,UBS Arena,Elmont,2,New York,NYI,12,Carolina,CAR,3,2,35,44,True,False,5,OT,OFF,2023
2023030145,20232024,3,2024-04-30,2024-04-30T23:30:00Z,PNC Arena,Raleigh,12,Carolina,CAR,2,New York,NYI,6,3,38,24,False,False,3,REG,OFF,2023
2023030151,20232024,3,2024-04-22,2024-04-23T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,54,Vegas,VGK,3,4,29,15,False,False,3,REG,OFF,2023
2023030152,20232024,3,2024-04-24,2024-04-25T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,54,Vegas,VGK,1,3,21,26,False,False,3,REG,OFF,2023
2023030153,20232024,3,2024-04-27,2024-04-28T02:30:00Z,T-Mobile Arena,Paradise,54,Vegas,VGK,25,Dallas,DAL,2,3,34,46,True,False,4,OT,OFF,2023
2023030154,20232024,3,2024-04-29,2024-04-30T01:30:00Z,T-Mobile Arena,Paradise,54,Vegas,VGK,25,Dallas,DAL,2,4,34,32,False,False,3,REG,OFF,2023
2023030155,20232024,3,2024-05-01,2024-05-01T23:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,54,Vegas,VGK,3,2,25,27,False,False,3,REG,OFF,2023
2023030156,20232024,3,2024-05-03,2024-05-04T02:00:00Z,T-Mobile Arena,Paradise,54,Vegas,VGK,25,Dallas,DAL,2,0,30,23,False,False,3,REG,OFF,2023
2023030157,20232024,3,2024-05-05,2024-05-05T23:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,54,Vegas,VGK,2,1,24,23,False,False,3,REG,OFF,2023
2023030161,20232024,3,2024-04-21,2024-04-21T23:00:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,21,Colorado,COL,7,6,23,46,False,False,3,REG,OFF,2023
2023030162,20232024,3,2024-04-23,2024-04-24T01:30:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,21,Colorado,COL,2,5,30,32,False,False,3,REG,OFF,2023
2023030163,20232024,3,2024-04-26,2024-04-27T02:00:00Z,Ball Arena,Denver,21,Colorado,COL,52,Winnipeg,WPG,6,2,40,24,False,False,3,REG,OFF,2023
2023030164,20232024,3,2024-04-28,2024-04-28T18:30:00Z,Ball Arena,Denver,21,Colorado,COL,52,Winnipeg,WPG,5,1,35,27,False,False,3,REG,OFF,2023
2023030165,20232024,3,2024-04-30,2024-05-01T01:30:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,21,Colorado,COL,3,6,36,32,False,False,3,REG,OFF,2023
2023030171,20232024,3,2024-04-21,2024-04-22T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,18,Nashville,NSH,4,2,21,24,False,False,3,REG,OFF,2023
2023030172,20232024,3,2024-04-23,2024-04-24T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,18,Nashville,NSH,1,4,18,16,False,False,3,REG,OFF,2023
2023030173,20232024,3,2024-04-26,2024-04-26T23:30:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,23,Vancouver,VAN,1,2,30,12,False,False,3,REG,OFF,2023
2023030174,20232024,3,2024-04-28,2024-04-28T21:00:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,23,Vancouver,VAN,3,4,30,21,True,False,4,OT,OFF,2023
2023030175,20232024,3,2024-04-30,2024-05-01T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,18,Nashville,NSH,1,2,20,22,False,False,3,REG,OFF,2023
2023030176,20232024,3,2024-05-03,2024-05-03T23:00:00Z,Bridgestone Arena,Nashville,18,Nashville,NSH,23,Vancouver,VAN,0,1,28,29,False,False,3,REG,OFF,2023
2023030181,20232024,3,2024-04-22,2024-04-23T02:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,26,Los Angeles,LAK,7,4,45,37,False,False,3,REG,OFF,2023
2023030182,20232024,3,2024-04-24,2024-04-25T02:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,26,Los Angeles,LAK,4,5,31,26,True,False,4,OT,OFF,2023
2023030183,20232024,3,2024-04-26,2024-04-27T02:30:00Z,Crypto.com Arena,Los Angeles,26,Los Angeles,LAK,22,Edmonton,EDM,1,6,28,40,False,False,3,REG,OFF,2023
2023030184,20232024,3,2024-04-28,2024-04-29T02:30:00Z,Crypto.com Arena,Los Angeles,26,Los Angeles,LAK,22,Edmonton,EDM,0,1,33,13,False,False,3,REG,OFF,2023
2023030185,20232024,3,2024-05-01,2024-05-02T02:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,26,Los Angeles,LAK,4,3,26,21,False,False,3,REG,OFF,2023
2023030211,20232024,3,2024-05-06,2024-05-07T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,6,Boston,BOS,1,5,39,29,False,False,3,REG,OFF,2023
2023030212,20232024,3,2024-05-08,2024-05-08T23:30:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,6,Boston,BOS,6,1,33,15,False,False,3,REG,OFF,2023
2023030213,20232024,3,2024-05-10,2024-05-10T23:00:00Z,TD Garden,Boston,6,Boston,BOS,13,Florida,FLA,2,6,17,33,False,False,3,REG,OFF,2023
2023030214,20232024,3,2024-05-12,2024-05-12T22:30:00Z,TD Garden,Boston,6,Boston,BOS,13,Florida,FLA,2,3,18,41,False,False,3,REG,OFF,2023
2023030215,20232024,3,2024-05-14,2024-05-14T23:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,6,Boston,BOS,1,2,29,28,False,False,3,REG,OFF,2023
2023030216,20232024,3,2024-05-17,2024-05-17T23:00:00Z,TD Garden,Boston,6,Boston,BOS,13,Florida,FLA,1,2,23,28,False,False,3,REG,OFF,2023
2023030221,20232024,3,2024-05-05,2024-05-05T20:00:00Z,Madison Square Garden,New York,3,New York,NYR,12,Carolina,CAR,4,3,23,25,False,False,3,REG,OFF,2023
2023030222,20232024,3,2024-05-07,2024-05-07T23:00:00Z,Madison Square Garden,New York,3,New York,NYR,12,Carolina,CAR,4,3,39,57,True,False,5,OT,OFF,2023
2023030223,20232024,3,2024-05-09,2024-05-09T23:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,3,New York,NYR,2,3,47,25,True,False,4,OT,OFF,2023
2023030224,20232024,3,2024-05-11,2024-05-11T23:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,3,New York,NYR,4,3,31,25,False,False,3,REG,OFF,2023
2023030225,20232024,3,2024-05-13,2024-05-13T23:00:00Z,Madison Square Garden,New York,3,New York,NYR,12,Carolina,CAR,1,4,21,28,False,False,3,REG,OFF,2023
2023030226,20232024,3,2024-05-16,2024-05-16T23:00:00Z,PNC Arena,Raleigh,12,Carolina,CAR,3,New York,NYR,3,5,36,24,False,False,3,REG,OFF,2023
2023030231,20232024,3,2024-05-07,2024-05-08T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,3,4,22,26,True,False,4,OT,OFF,2023
2023030232,20232024,3,2024-05-09,2024-05-10T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,5,3,32,31,False,False,3,REG,OFF,2023
2023030233,20232024,3,2024-05-11,2024-05-12T02:00:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,1,4,29,23,False,False,3,REG,OFF,2023
2023030234,20232024,3,2024-05-13,2024-05-14T01:30:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,1,5,25,34,False,False,3,REG,OFF,2023
2023030235,20232024,3,2024-05-15,2024-05-16T00:00:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,3,5,26,27,False,False,3,REG,OFF,2023
2023030236,20232024,3,2024-05-17,2024-05-18T02:00:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,1,2,30,38,True,False,5,OT,OFF,2023
2023030241,20232024,3,2024-05-08,2024-05-09T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,22,Edmonton,EDM,5,4,24,18,False,False,3,REG,OFF,2023
2023030242,20232024,3,2024-05-10,2024-05-11T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,22,Edmonton,EDM,3,4,19,31,True,False,4,OT,OFF,2023
2023030243,20232024,3,2024-05-12,2024-05-13T01:30:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,23,Vancouver,VAN,3,4,45,18,False,False,3,REG,OFF,2023
2023030244,20232024,3,2024-05-14,2024-05-15T01:30:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,23,Vancouver,VAN,3,2,30,21,False,False,3,REG,OFF,2023
2023030245,20232024,3,2024-05-16,2024-05-17T02:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,22,Edmonton,EDM,3,2,35,23,False,False,3,REG,OFF,2023
2023030246,20232024,3,2024-05-18,2024-05-19T00:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,23,Vancouver,VAN,5,1,27,15,False,False,3,REG,OFF,2023
2023030247,20232024,3,2024-05-20,2024-05-21T01:00:00Z,Rogers Arena,Vancouver,23,Vancouver,VAN,22,Edmonton,EDM,2,3,17,29,False,False,3,REG,OFF,2023
2023030311,20232024,3,2024-05-22,2024-05-23T00:00:00Z,Madison Square Garden,New York,3,New York,NYR,13,Florida,FLA,0,3,24,27,False,False,3,REG,OFF,2023
2023030312,20232024,3,2024-05-24,2024-05-25T00:00:00Z,Madison Square Garden,New York,3,New York,NYR,13,Florida,FLA,2,1,30,27,True,False,4,OT,OFF,2023
2023030313,20232024,3,2024-05-26,2024-05-26T19:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,3,New York,NYR,4,5,37,23,True,False,4,OT,OFF,2023
2023030314,20232024,3,2024-05-28,2024-05-29T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,3,New York,NYR,3,2,40,23,True,False,4,OT,OFF,2023
2023030315,20232024,3,2024-05-30,2024-05-31T00:00:00Z,Madison Square Garden,New York,3,New York,NYR,13,Florida,FLA,2,3,27,37,False,False,3,REG,OFF,2023
